onset	duration	trial_type	identifier	response
1031.432	2.996498	dyad	yt-M1SHOxaP24s_29.mp4	0
1035.183	2.987397	dyad	yt-NNVHWypc0No_309.mp4	0
1038.934	2.995819	dyad	flickr-5-5-5-1-2-1-2-0-2755512120_95.mp4	0
1042.684	2.987294	dyad	yt-Hdv-QIhFago_254.mp4	0
1046.435	2.994296	dyad	yt-2dK-i-Ie1Yg_68.mp4	0
1050.186	2.98697	dyad	8-6-0-3-9-6-6-0-19586039660_4.mp4	0
1053.936	2.978555	crowd	vine-Everyones-clapping-for-Thats-my-kind-of-night-with-LukeBryanOnline-LukeBryanOnGMA-MViP0AhhvAH_2.mp4	0
1057.687	2.986281	dyad	yt-4vsQkKl13Qc_682.mp4	0
1061.437	2.993988	dyad	eJRbWjg73fE_116.mp4	0
1065.188	2.985451	dyad	yt-mqSlRcLajN4_267.mp4	0
1068.939	2.977101	dyad	flickr-8-7-2-6-6-0-0-8-3387266008_18.mp4	0
1072.689	2.985218	dyad	yt-M1ZSKh7JbQQ_36.mp4	0
1076.44	2.992123	dyad	FSQ2vBJ0hmw_20.mp4	0
1080.19	2.984493	dyad	yt-sWfgS1G-cr4_139.mp4	0
1083.941	2.992558	dyad	yt-V9hKfvFLDQo_816.mp4	0
1087.691	2.984471	dyad	yt-p2Rry6IQhwE_57.mp4	0
1091.442	2.992436	dyad	yt-YHZCo34wpMQ_3.mp4	0
1095.193	2.984053	dyad	yt-9R3WOWjYHMs_3.mp4	0
1098.943	2.975528	crowd	yt-1p9CYyk7fVo_5.mp4	0
1102.694	2.983382	dyad	yt-UPu938CNhYc_35.mp4	0
1106.444	2.97484	dyad	giphy-10TNZYlPEDFR3a_3.mp4	0
1110.195	2.982484	dyad	yt-0IxYqinsuz8_7.mp4	0
1113.945	2.989789	dyad	flickr-2-8-2-7-7-6-8-9-3028277689_11.mp4	0
1117.696	2.982188	dyad	yt-tbKg9FdQZ0g_63.mp4	0
1121.446	2.989709	dyad	flickr_R-1-2-8-9-1-4-3-5-4212891435_36.mp4	0
1125.197	2.986141	dyad	yt-O2JT20EG6yI_111.mp4	0
1128.948	2.993681	dyad	yt-4ECKZXJX9FY_7.mp4	0
1132.698	2.979816	dyad	yt-yI5VBQahUNE_92.mp4	0
1136.449	2.993386	dyad	yt-8jK--lY7pww_12.mp4	0
1140.199	3.001407	dyad	FJzKgF-nR0E_15.mp4	0
1143.95	2.976576	crowd	yt-0mDoMNL_CI0_35.mp4	0
1147.701	2.98222	crowd	yt-5HH4AdueVlg_26.mp4	0
1151.451	2.98813	dyad	yt-ieUSTTGb3P8_9.mp4	0
1155.202	3.017221	dyad	yt-OGAx__6iSTs_17.mp4	0
1158.953	2.992779	dyad	flickr-7-8-5-0-9-0-9-0-4078509090_12.mp4	0
1162.703	3.000637	dyad	yt-9AkGB_rRbIQ_95.mp4	0
1166.454	2.991734	dyad	yt--d_UnNREYO4_61.mp4	0
1170.204	2.993519	dyad	yt-11lRVNynHq0_23.mp4	0
1173.955	2.98981	dyad	yt-BJa2Fs1UyZ0_71.mp4	0
1189.094	2.979023	crowd	yt-8ndhK2tFl60_40.mp4	1
1192.845	2.99437	dyad	yt-MMycfMcM9oM_297.mp4	0
1196.595	2.985602	dyad	yt-U87RJqCZT8w_16.mp4	0
1200.346	2.995735	dyad	flickr-2-1-6-6-7-1-1-2-16621667112_15.mp4	0
1204.096	2.985315	dyad	flickr-1-0-3-5-1-1-0-6-2810351106_1.mp4	0
1207.847	2.977715	dyad	flickr-0-9-4-9-7-9-0-1-3009497901_3.mp4	0
1211.598	2.985052	crowd	flickr-0-2-5-6-6-5-1-2-5402566512_10.mp4	0
1215.348	2.992156	dyad	yt-k2tmlKg0MsU_33.mp4	0
1219.099	2.98503	dyad	yt-DnrzWno9RY0_28.mp4	0
1222.849	2.99244	dyad	flickr-2-0-5-7-0-2-3-3-4720570233_26.mp4	0
1226.6	3.002371	dyad	yt-rjfxunCrhMk_6.mp4	0
1230.35	3.008454	dyad	yt-LrJEzt-ytsM_18.mp4	0
1234.101	3.0006	dyad	yt-hXKxZId2MC0_139.mp4	0
1237.852	2.986423	dyad	yt-ccsCZ0yttAI_264.mp4	0
1241.602	2.977084	dyad	gvztLkrmEIg_137.mp4	0
1245.353	2.990746	dyad	yt-S0dAccaitok_119.mp4	0
1249.103	2.999346	dyad	yt-xPT35mB9C28_1226.mp4	0
1252.854	2.992305	crowd	yt-9zSUWc_GyVs_203.mp4	0
1256.605	2.998108	dyad	yt-ylWmBeCU2LE_101.mp4	0
1260.355	2.988687	dyad	yt-7eF1aYP8gCQ_9.mp4	0
1264.106	2.981286	crowd	yt-4_ITLNi3Wx8_27.mp4	0
1267.856	2.991074	dyad	yt-CycYi5Z5guk_25.mp4	0
1271.607	2.980604	dyad	yt-ACR1T1nMR0E_57.mp4	0
1275.358	2.982336	dyad	yt-XTX0BNJrLcc_97.mp4	0
1279.108	2.997064	dyad	yt-hHV1-no0rkQ_102.mp4	0
1282.859	3.006335	dyad	yt-l8je0Vm72u4_988.mp4	0
1286.609	2.997858	dyad	flickr-7-7-6-9-8-7-4-3-6077698743_33.mp4	0
1290.36	2.987153	dyad	flickr-3-2-7-8-3-1-4-7-16232783147_5.mp4	0
1294.11	2.995327	dyad	yt-1bNx06Nq40k_73.mp4	0
1297.861	2.982008	dyad	flickr-4-8-3-9-9-3-0-9-6748399309_20.mp4	0
1301.612	2.994607	dyad	yt-2Joztxgo5Sw_180.mp4	0
1305.362	2.986742	dyad	yt-D0FQ_5wWv_s_5.mp4	0
1309.113	2.995045	dyad	yt-pumHrH9tKRo_131.mp4	0
1312.863	2.987638	dyad	flickr-7-8-4-4-1-9-1-7-2878441917_1.mp4	0
1316.614	2.988636	dyad	yt-vx-VMETm4g0_154.mp4	0
1320.365	2.997157	dyad	yt_R-8XFRghgHAwk_54.mp4	0
1324.115	2.994371	crowd	yt-8N5UuN5WQcY_72.mp4	0
1327.865	3.003091	dyad	yt-krmQtsQUk1Q_485.mp4	0
